idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98388.0,-101743.0,1011,2,3,1,202.71408436514716,200.73551306565528,154.1790080258129,1,1,1,1,1.0,1.0,0,1,90.0,270.0,245811.0,1
1,-98387.0,-101743.0,1011,3,3,1,202.25231766286387,200.29995213755268,154.1790080258134,1,1,1,1,14.142135623730951,1.0,0,1,45.0,270.0,245811.0,1
1,-98377.0,-101733.0,1011,4,3,1,201.06217943710845,201.0124773699311,133.45184230102,1,1,1,1,2.23606797749979,14.142135623730951,0,1,63.43494882292201,225.00000000000006,245811.0,1
1,-98375.0,-101732.0,1011,5,3,1,200.26232796010336,200.2483166500269,133.45184230102032,1,1,1,1,71.0,2.23606797749979,0,1,90.0,243.43494882292194,245811.0,1
1,-98304.0,-101732.0,1011,6,5,1,153.40469353966978,-1.0,-1.0,-1,0,0,1,20.615528128088304,71.0,-1,1,247.1663458220824,270.0,245811.0,1
1,-98323.0,-101740.0,1011,7,5,1,159.40200751558933,-1.0,-1.0,-1,0,0,0,1.0,20.615528128088304,-1,-1,180.0,67.16634582208248,245811.0,1
1,-98323.0,-101741.0,1011,8,5,1,158.60012610335465,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,0.0,245811.0,1
1,-98324.0,-101741.0,1011,9,5,1,159.20113064925135,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,90.0,245811.0,1
1,-98324.0,-101742.0,1011,10,5,1,158.40454538932903,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98324.0,-101743.0,1011,11,5,1,157.610278852618,-1.0,-1.0,-1,0,0,0,20.396078054371138,1.0,-1,-1,168.6900675259798,0.0,245811.0,1
1,-98320.0,-101763.0,1011,12,5,1,139.6030085635693,-1.0,-1.0,-1,0,0,0,29.154759474226502,20.396078054371138,-1,-1,292.16634582208246,348.69006752597977,245811.0,1
1,-98347.0,-101752.0,1011,13,5,1,166.1836333698358,-1.0,-1.0,-1,0,0,0,1.0,29.154759474226502,-1,-1,270.0,112.16634582208246,245811.0,1
1,-98348.0,-101752.0,1011,14,5,1,166.90116836020053,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,90.0,245811.0,1
1,-98349.0,-101752.0,1011,15,5,1,167.621597653763,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,90.0,245811.0,1
1,-98350.0,-101752.0,1011,16,5,1,168.34488409215172,-1.0,-1.0,-1,0,0,0,36.05551275463989,1.0,-1,-1,213.69006752597974,90.0,245811.0,1
1,-98370.0,-101782.0,1011,17,5,1,160.1624175641714,-1.0,-1.0,-1,0,0,0,1.4142135623730951,36.05551275463989,-1,-1,225.00000000000006,33.690067525979806,245811.0,1
1,-98371.0,-101783.0,1011,18,5,1,159.48040632002414,-1.0,-1.0,-1,0,0,0,1.0,1.4142135623730951,-1,-1,180.0,45.0,245811.0,1
1,-98371.0,-101784.0,1011,19,5,1,158.52129194527782,-1.0,-1.0,-1,0,0,0,8.94427190999916,1.0,-1,-1,206.56505117707795,0.0,245811.0,1
1,-98375.0,-101792.0,1011,20,5,1,152.10851389715174,-1.0,-1.0,-1,0,0,0,5.385164807134504,8.94427190999916,-1,-1,248.19859051364818,26.56505117707799,245811.0,1
1,-98380.0,-101794.0,1011,21,5,1,151.92103211866353,-1.0,-1.0,-1,0,0,0,1.0,5.385164807134504,-1,-1,180.0,68.19859051364818,245811.0,1
